"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",9422.02684511967,-0.415894501432232,0.114019573195268,-3.64757111237366,0.000264731054983602,0.00862597131041603
"ENSDARG00000102407",203.684802259778,-0.241660677777277,0.147150558046007,-1.64226817068354,0.100534440381998,0.305602215020612
"ENSDARG00000102097",112.457937552418,-0.130808875422647,0.251044697100237,-0.521058110103866,0.602326291185549,0.793140059163366
"ENSDARG00000099640",234.864994664966,-0.109321787329981,0.196150589661115,-0.557336011677833,0.577297875610476,0.776572972924625
"ENSDARG00000104071",212.345398340008,-0.0265886240735113,0.146356113445213,-0.181670744375598,0.855841126480464,0.93629014266564
"ENSDARG00000102746",499.050596884529,-0.0916669632401115,0.150891916998798,-0.607500819549146,0.543518598917906,0.754219749056285
"ENSDARG00000103929",434.232091759762,-0.236603739936595,0.112582436814708,-2.10160435882203,0.03558794772468,0.171054068515518
"ENSDARG00000101073",41.0158648519731,0.446094881096683,0.309812696117092,1.43988573317887,0.149899730089538,0.378624361516999
"ENSDARG00000100223",1300.37674106536,-0.214878139113062,0.0649970819916257,-3.30596593768235,0.000946495930035122,0.0195736115522904
"ENSDARG00000100782",89.2708018574033,-0.240964649548423,0.182834055055,-1.3179418324225,0.187523120603952,0.427914313703394
"ENSDARG00000034862",129.089372088194,0.0137872898391289,0.178332338496556,0.077312336928701,0.938375076833348,0.972991463440594
"ENSDARG00000075827",129.950058890118,-0.314980374672943,0.20010878656559,-1.57404569823675,0.115476884990625,0.330387858139619
"ENSDARG00000088581",1047.53626622444,-0.113230688406592,0.0908612074312309,-1.24619396558527,0.212693193920751,0.457119808800313
"ENSDARG00000076900",45.904589381141,-0.159903479662543,0.280988836680786,-0.569074136721666,0.569305829230725,0.7708353937976
"ENSDARG00000013802",225.910330277109,-0.263808881013725,0.129474289271938,-2.03753874608758,0.0415960832586925,0.186155190105753
"ENSDARG00000096578",584.092442961173,0.0373633149828811,0.0901637021095847,0.41439419753938,0.678585437696471,0.841211262056631
"ENSDARG00000109848",1.78692599364209,0.607413961732624,1.67568027774096,0.362487981628272,0.716987403029417,NA
"ENSDARG00000100181",180.425346819741,0.195122207150368,0.140685023158431,1.38694370423946,0.165458929721537,0.399456733528435
"ENSDARG00000029936",128.245986174203,-0.443470283876726,0.15111000016139,-2.93475139569246,0.00333815020589559,0.0428525459154903
"ENSDARG00000041589",29.2279216414226,0.128040707121813,0.288427471884061,0.443926877996149,0.657095451275807,0.829456560082945
"ENSDARG00000041592",354.261740034071,-0.0247539166449691,0.105354510347689,-0.234958299965295,0.81424109904333,0.916212047390661
"ENSDARG00000075108",81.1424560437184,0.0222438740511951,0.217125631270584,0.102447020745674,0.918401862819171,0.965593074069617
"ENSDARG00000016304",222.290356132003,-0.241818809778061,0.125940709601779,-1.92010042299019,0.054845215889003,0.217166917737118
"ENSDARG00000058803",371.688495021587,0.218663467231783,0.163595200784782,1.33661297020226,0.181349003100714,0.420914516183698
"ENSDARG00000063385",1513.93198982313,0.245276213378186,0.0984190340139538,2.4921623732195,0.0126967978577948,0.0946737329294581
"ENSDARG00000007804",334.162335421697,-0.151229283318256,0.104641532896413,-1.44521280539689,0.148398120619158,0.376716627169419
"ENSDARG00000068261",260.791385793166,0.000765928772118513,0.12874783904711,0.00594906118648135,0.995253363926345,0.99811504811396
"ENSDARG00000063371",534.176540809324,0.135163711136179,0.0993685038234275,1.36022689217861,0.173758135036625,0.410527851192723
"ENSDARG00000078751",865.537931733501,0.180053473764111,0.100799168202103,1.7862595195538,0.074057247999405,0.25824360860925
"ENSDARG00000078878",7.42340644811564,0.248522889905087,0.72517375100925,0.342708060736077,0.731818097989413,NA
"ENSDARG00000016343",152.571834666957,-0.0825588132172818,0.136623904256233,-0.604277953164372,0.545658861544865,0.755646785265792
"ENSDARG00000023678",180.691053328819,-0.0141379116892522,0.153487444268849,-0.0921111935676519,0.926609695082188,0.968484328384683
"ENSDARG00000011299",527.333479310596,-0.100069037887151,0.0924362575505593,-1.0825734461655,0.278997798894972,0.530603368007989
"ENSDARG00000041575",147.302291555856,-0.41654924768688,0.147779243421257,-2.81872635184274,0.00482146030858568,0.0528195556776493
"ENSDARG00000058962",61.0595739226208,-0.491876487681555,0.303115983951547,-1.62273358623074,0.104646368381965,0.311630006876434
"ENSDARG00000089799",1.73657158691578,0.756887110830959,1.49578886533498,0.506011996994946,0.612848227695507,NA
"ENSDARG00000075325",692.126684366058,-0.191760791375692,0.126708911885536,-1.51339624436932,0.130179038408396,0.350585930690893
"ENSDARG00000041570",391.164963805657,-0.176820197513579,0.120502626271589,-1.46735555053432,0.142279359473799,0.36846364894782
"ENSDARG00000113329",47.5541704471605,0.401789336277895,0.256622028485201,1.56568529463193,0.117422310604941,0.333629259887095
"ENSDARG00000058996",49.041654483234,-0.495977383391339,0.250056160689504,-1.98346396275034,0.0473156285939249,0.200215498446475
"ENSDARG00000014313",902.71231940812,-0.347487612103223,0.142283127701031,-2.44222640953868,0.0145969889184153,0.102686174539196
"ENSDARG00000104279",2447.50930918064,0.248376835805124,0.150911936672226,1.64583956234414,0.0997967946922828,0.304658545976915
"ENSDARG00000103783",978.7432706854,0.0210808826159916,0.0778257026078146,0.270873013793708,0.78648870122092,0.900984641358939
"ENSDARG00000103519",259.092766508608,0.244331295586705,0.122190822072703,1.99958795138745,0.0455447760394307,0.19594653928427
"ENSDARG00000100307",158.244172987286,0.585321488719925,0.243419258070646,2.40458168083829,0.0161909875000846,0.109332257324028
"ENSDARG00000101089",768.693417913979,-0.310668814719706,0.133080797775116,-2.33443757411707,0.0195728212513428,0.121778317454096
"ENSDARG00000115421",166.780143478562,-0.357414396495401,0.147938852553391,-2.41596031283541,0.0156937717967669,0.107268959597944
"ENSDARG00000087646",50.5505328277801,0.115481639183196,0.270503127035931,0.426914248454721,0.669441787082107,0.836703301568829
"ENSDARG00000067781",23.4488244195696,-0.459020862272464,0.349264832305367,-1.31424872994695,0.188762514606955,0.429301050610224
"ENSDARG00000099108",55.6919150328016,-0.157053154217699,0.249397280450513,-0.62973082117815,0.528870713701741,0.744755480724519
"ENSDARG00000001870",5304.90889400979,0.106629174559307,0.0642113014164929,1.66059824683633,0.0967941613271116,0.300730192159489
"ENSDARG00000002791",640.086450150696,0.206757243617288,0.102979559036075,2.00775032979952,0.0446698294173036,0.194024693901363
"ENSDARG00000007739",2172.06090393498,0.00169257547627659,0.0870610751916396,0.0194412425133836,0.984489109849514,0.992641616118051
"ENSDARG00000039131",1163.67407871257,-0.0761565258838337,0.0835597752137608,-0.911401756275812,0.362083728583997,0.609203472256842
"ENSDARG00000040252",273.11419656367,0.0974565610886683,0.13667535519286,0.713051456505446,0.475813916520582,0.703189112882117
"ENSDARG00000089477",125.418500474415,0.442053408157563,0.165548055833332,2.67024222019622,0.00757965467409923,0.0702206664038142
"ENSDARG00000095102",1.24686545447193,1.20337226599934,1.79916756485876,0.66884946655528,0.503591508264232,NA
"ENSDARG00000075505",68.2421958791292,1.01232354709181,0.215438320989263,4.69890195227738,2.61563980797652e-06,0.000351160780516207
"ENSDARG00000018460",1057.52924794501,0.137111869138158,0.0849033166381603,1.61491770365697,0.106328517863207,0.314387849505376
"ENSDARG00000040246",25.2652248910045,0.717643913795404,0.338523492281191,2.11992352128786,0.0340124954372547,0.166595566454445
"ENSDARG00000040245",3366.40717397062,0.0722678278401827,0.089937198880178,0.803536564847479,0.421664671378337,0.658855932309882
"ENSDARG00000074381",911.688666861348,0.240091064329153,0.0909750536480905,2.63908681228013,0.00831296902797033,0.0743362253915636
"ENSDARG00000095179",12.1274285810407,-0.332490827407748,0.513540193597171,-0.647448498780134,0.517341716007257,NA
"ENSDARG00000070581",15.520560826011,0.269530967481447,0.482639420288338,0.558452037175959,0.576535747450241,0.775821988418827
"ENSDARG00000103156",53.4900935012596,0.3881906877833,0.254595056638905,1.52473772628616,0.127324527914887,0.347213878144509
"ENSDARG00000103647",95.5473632047921,0.031658313886609,0.219064770954944,0.144515769233932,0.885093205111724,0.951480050495138
"ENSDARG00000098769",453.450672961087,-0.148674309943026,0.0949848598291389,-1.56524218923379,0.117526132611382,0.333709016831937
"ENSDARG00000078308",821.350288796996,-0.152446994325625,0.122321496994839,-1.24628130026937,0.212661140554455,0.457102546437448
"ENSDARG00000033928",2642.74982350247,0.111707873533501,0.0872404058321483,1.28046026916046,0.200383309290688,0.443219685953854
"ENSDARG00000031164",2707.83196844446,-0.305417627936441,0.0920140668518395,-3.31924931030625,0.000902598064933134,0.0191732122380039
"ENSDARG00000037777",228.025469996988,0.151878366100378,0.176190930674876,0.862010124576949,0.388681946422731,0.630916041838961
"ENSDARG00000030350",67.9644601002256,-0.313121874786161,0.209833069918295,-1.49224273803974,0.135635522124315,0.359021887676115
"ENSDARG00000006526",10385.0782407827,0.327267893030995,0.0939756730134032,3.48247458663391,0.000496802372950531,0.0129857862017523
"ENSDARG00000077688",4.45086279069805,0.350085895568451,0.873207658652136,0.400919405710247,0.68847946204016,NA
"ENSDARG00000096546",1439.83391819091,0.01578700016903,0.0782438012459571,0.201766784302874,0.840099049754835,0.928619584415551
"ENSDARG00000092671",181.101620540604,0.279342395642438,0.183522537814913,1.52211493459273,0.127980284522505,0.348203722358986
"ENSDARG00000113935",11.7296808352272,0.653489841626579,0.46822154488454,1.39568511694122,0.162809338041707,NA
"ENSDARG00000063297",158.520327252188,-0.00309010003398947,0.211136252794751,-0.0146355729681032,0.988322919163513,0.994332073002141
"ENSDARG00000027078",942.490722576065,-0.131701825499669,0.0952748108107265,-1.3823362584399,0.166868477835776,0.40178922747526
"ENSDARG00000017537",28.711108563805,-0.125056002441594,0.339102871433987,-0.368784852551562,0.712288096022367,0.861345334215152
