"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS","GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS","GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS",182,-0.6068070828577,-2.28159256673692,1.7485915646577e-08,0.000450944278609574,0.000430411212083743,65,"tags=4%, list=0%, signal=4%","ENSDARG00000069279/ENSDARG00000098453/ENSDARG00000068910/ENSDARG00000078619/ENSDARG00000016706/ENSDARG00000075395/ENSDARG00000052223/ENSDARG00000032469"
"GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS",23,-0.923850886840109,-2.46205170421736,2.17498275735572e-07,0.00274559796723145,0.00262058131131961,65,"tags=13%, list=0%, signal=13%","ENSDARG00000016706/ENSDARG00000075395/ENSDARG00000032469"
"chr15q14","chr15q14","chr15q14",19,0.925294413234562,2.22414041116439,3.19391752363192e-07,0.00274559796723145,0.00262058131131961,1,"tags=5%, list=0%, signal=5%","ENSDARG00000057911"
"MODULE_243","MODULE_243","MODULE_243",67,0.813370731311016,2.34992150541413,6.76518967324471e-07,0.00350503788232253,0.00334544127709407,8,"tags=3%, list=0%, signal=3%","ENSDARG00000056108/ENSDARG00000008255"
"GOBP_PURINE_CONTAINING_COMPOUND_SALVAGE","GOBP_PURINE_CONTAINING_COMPOUND_SALVAGE","GOBP_PURINE_CONTAINING_COMPOUND_SALVAGE",13,-0.943561507763009,-2.21284688816331,8.15472771101447e-07,0.00350503788232253,0.00334544127709407,537,"tags=23%, list=2%, signal=23%","ENSDARG00000078619/ENSDARG00000075395/ENSDARG00000032469"
"HO_LIVER_CANCER_VASCULAR_INVASION","HO_LIVER_CANCER_VASCULAR_INVASION","HO_LIVER_CANCER_VASCULAR_INVASION",11,-0.946098901425367,-2.148818587553,7.09797015231955e-07,0.00350503788232253,0.00334544127709407,2,"tags=18%, list=0%, signal=18%","ENSDARG00000019299/ENSDARG00000032469"
"GOBP_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS","GOBP_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS","GOBP_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS",15,0.929625941518187,2.10548815757198,1.14496861026664e-06,0.00421822792716662,0.00402615729059775,7,"tags=7%, list=0%, signal=7%","ENSDARG00000098386"
"GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS",41,-0.839985026135531,-2.53771662747656,2.03306583120041e-06,0.00444183580234228,0.00423958351896145,65,"tags=7%, list=0%, signal=7%","ENSDARG00000016706/ENSDARG00000075395/ENSDARG00000032469"
"GOBP_NUCLEOTIDE_SALVAGE","GOBP_NUCLEOTIDE_SALVAGE","GOBP_NUCLEOTIDE_SALVAGE",16,-0.930590776924652,-2.33834425694174,2.01641586150238e-06,0.00444183580234228,0.00423958351896145,7,"tags=12%, list=0%, signal=13%","ENSDARG00000075395/ENSDARG00000032469"
"GOBP_IMP_METABOLIC_PROCESS","GOBP_IMP_METABOLIC_PROCESS","GOBP_IMP_METABOLIC_PROCESS",17,-0.91110605796261,-2.28897093403412,2.15092706153385e-06,0.00444183580234228,0.00423958351896145,537,"tags=18%, list=2%, signal=17%","ENSDARG00000078619/ENSDARG00000016706/ENSDARG00000032469"
