Filename,MD5_Checksum
AH_Cut_0_1_1.fq.gz,49d384d67febe768ba016754cd0f08e6
AH_Cut_0_1_2.fq.gz,265f1662981db714c4036fbca0728db9
AH_Cut_0_2_1.fq.gz,193c35c2615cf28047919764fd64c2e2
AH_Cut_0_2_2.fq.gz,18692419d7b274e5159ab22c214947be
AH_Cut_0_3_1.fq.gz,65fd01f5761441ad2b7d9c0c8cb39781
AH_Cut_0_3_2.fq.gz,00d229dc4382d987f5d228212f3ce357
AH_Cut_0_4_1.fq.gz,b0f8bc1604de8bea4210e1fbd479944a
AH_Cut_0_4_2.fq.gz,8e341eb3191d67e67e041577786fe74f
AH_Cut_100_1_1.fq.gz,6cfd4af1b86beea122b1a2e4e08f0a1b
AH_Cut_100_1_2.fq.gz,ca4b049de52275b9189a54469831b1e7
AH_Cut_100_2_1.fq.gz,467b7bee96eb9812ff2c0ae00609ccef
AH_Cut_100_2_2.fq.gz,17fc747c7d3363954bcaa5806289d5f7
AH_Cut_100_3_1.fq.gz,1a120f2b68c03c40eb004cef87385c8a
AH_Cut_100_3_2.fq.gz,5d69daad3d667c69fbfacd372e2df7d6
AH_Cut_100_4_1.fq.gz,f8b496fcaef5e15140055e3e5178db81
AH_Cut_100_4_2.fq.gz,b6d4385b9fd5b3d0536723b8a28e7c53
AH_Cut_5_1_1.fq.gz,f78df4f4b1b4f2b62e282a9193de7d85
AH_Cut_5_1_2.fq.gz,945b5370387fdacb4b41e3f7f4e0a6f0
AH_Cut_5_2_1.fq.gz,34ec3ffb396b70be70fa7a4c116f3381
AH_Cut_5_2_2.fq.gz,467dccfa68fc63db5a877aef63ac6db1
AH_Cut_5_3_1.fq.gz,5fca4675d545909b9a076c331be8e801
AH_Cut_5_3_2.fq.gz,1dc5beaac4b6049104aeb4e3b860842b
AH_Cut_5_4_1.fq.gz,7077db4d2439c0a8f4c1251206e2fd46
AH_Cut_5_4_2.fq.gz,db58eaceae5df6377eb7b2e367d167b1
AH_Uncut_0_1_1.fq.gz,0a965f26fc89d6e1b5f86b5adde9dd08
AH_Uncut_0_1_2.fq.gz,5f30f0c1d6a66cd559ee8b0f9ec717a3
AH_Uncut_0_2_1.fq.gz,913e75b666ca9b79a562d504e7e59a28
AH_Uncut_0_2_2.fq.gz,dc1a9e16874ea7d0b1f70e643342e423
AH_Uncut_0_3_1.fq.gz,837b10ce426ced45c640202b06f230b3
AH_Uncut_0_3_2.fq.gz,2cf11c0c0fd001d4a3cf163720b44a86
AH_Uncut_0_4_1.fq.gz,d2f2ae1dd25029d2e3870c71feef72d7
AH_Uncut_0_4_2.fq.gz,0416ec759ff0f43da902b81dc7c01a5a
